head,relation,tail
C0016299,MoA_InhibitionBlockade,C0013604
C0016299,MoA_InhibitionBlockade,C0333565
C0016299,MoA_InhibitionBlockade,C0302122
C0016299,MoA_InhibitionBlockade,C0332975
C0016299,MoA_InhibitionBlockade,C3272630
C0016299,MoA_InhibitionBlockade,C3686827
C0016299,Taxonomy_MemberOf,C4521954
C0016299,Taxonomy_MemberOf,C3653798
C0016299,Taxonomy_MemberOf,C1373012
C0016299,Taxonomy_MemberOf,C0443077
C0016299,Etiology_AssociatedWith,C0011615
C0016299,Etiology_AssociatedWith,C0011616
C0016299,Treatment_IndicationUse,C0156175
C0016299,Treatment_IndicationUse,C2370838
C0016299,Etiology_AssociatedWith,C0498120
C0016299,MoA_ModulationOther,C1320404
C0082787,Taxonomy_IsA,C0443077
C0082787,Treatment_IndicationUse,C0406317
C0082787,Taxonomy_VariantOf,C0098735
C0082787,Etiology_AssociatedWith,C1517486
C0082787,Temporal_DurationResolution,C0441472
C0098735,Taxonomy_IsA,C0082787
C0082787,Taxonomy_PartOf,C4521954
C0082787,Taxonomy_PartOf,C1373012
C0082787,Taxonomy_PartOf,C0205489
C0082787,Taxonomy_PartOf,C0006174
C0082787,Etiology_AssociatedWith,C3544310
C0082787,Etiology_AssociatedWith,C0747601
C0082787,MoA_ModulationOther,C3714514
C0413572,Taxonomy_IsA,C0443077
C0413572,Treatment_IndicationUse,C0581392
C0413572,Treatment_IndicationUse,C0333427
C0413572,MoA_InhibitionBlockade,C0912034
C0912034,Prevention_Prophylaxis,C2326883
C0413572,MoA_ModulationOther,C1565830
C0413572,MoA_ModulationOther,C2936592
C0413572,MoA_ModulationOther,C0033555
C0413572,MoA_ModulationOther,C0520496
C0413572,MoA_InhibitionBlockade,C0167954
C0413572,MoA_BindingAffinity,C3544310
C0413572,MoA_BindingAffinity,C0857540
C0413572,Taxonomy_IsA,C4521954
C0032952,Taxonomy_IsA,C0017710
C0032952,Taxonomy_DerivedFrom,C0010137
C0032952,Treatment_IndicationUse,C0700624
C0032952,Treatment_IndicationUse,C0376545
C0032952,Treatment_IndicationUse,C5238864
C0032952,Treatment_IndicationUse,C0014130
C0032952,Treatment_IndicationUse,C1709160
C0032952,MoA_ModulationOther,C0021368
C0032952,Taxonomy_PartOf,C4521954
C0032952,Taxonomy_PartOf,C3653826
C0032952,Taxonomy_PartOf,C0474035
C0032952,Taxonomy_PartOf,C1373012
C0032952,Taxonomy_PartOf,C0443077
C0032952,Taxonomy_PartOf,C3653531
C0032952,Regulatory_Status,C0240320
C0032952,Etiology_AssociatedWith,C1519729
C0032952,Etiology_AssociatedWith,C0961890
C1266629,Taxonomy_IsA,C0015082
C1266629,MoA_InhibitionBlockade,C1181303
C1266629,Treatment_IndicationUse,C0346402
C1266629,Etiology_AssociatedWith,C0270611
C1266629,PK_DistributionProteinBinding,C1442469
C1266629,Taxonomy_MemberOf,C0458083
C1266629,Taxonomy_MemberOf,C0678889
